class_id,class_name,GT,Pred,TP,FP,FN,Precision,Recall,F1
0,一,177,542,118,424,59,0.2177121771217712,0.6666666666666666,0.32823365785813624
1,二,192,274,138,136,54,0.5036496350364964,0.71875,0.592274678111588
2,三,237,369,205,164,32,0.5555555555555556,0.8649789029535865,0.6765676567656765
3,四,336,374,282,92,54,0.7540106951871658,0.8392857142857143,0.7943661971830986
4,五,268,348,226,122,42,0.6494252873563219,0.8432835820895522,0.7337662337662338
5,六,316,456,270,186,46,0.5921052631578947,0.8544303797468354,0.6994818652849739
6,七,373,473,284,189,89,0.6004228329809725,0.7613941018766756,0.6713947990543736
7,八,67,134,45,89,22,0.3358208955223881,0.6716417910447762,0.44776119402985076
8,九,208,280,183,97,25,0.6535714285714286,0.8798076923076923,0.75
9,十,318,471,225,246,93,0.47770700636942676,0.7075471698113207,0.5703422053231939
10,抹,62,135,47,88,15,0.34814814814814815,0.7580645161290323,0.47715736040609136
11,挑,427,483,402,81,25,0.8322981366459627,0.9414519906323185,0.8835164835164835
12,勾,443,509,345,164,98,0.6777996070726916,0.7787810383747178,0.7247899159663865
13,剔,37,68,20,48,17,0.29411764705882354,0.5405405405405406,0.38095238095238093
14,抹挑,15,0,0,0,15,0.0,0.0,0.0
15,勾剔,28,47,22,25,6,0.46808510638297873,0.7857142857142857,0.5866666666666668
16,擘,120,114,99,15,21,0.868421052631579,0.825,0.8461538461538461
17,托,5,37,0,37,5,0.0,0.0,0.0
18,打,201,296,201,95,0,0.6790540540540541,1.0,0.8088531187122737
19,摘,11,35,2,33,9,0.05714285714285714,0.18181818181818182,0.08695652173913043
20,滚,1,3,0,3,1,0.0,0.0,0.0
21,拂,6,13,3,10,3,0.23076923076923078,0.5,0.3157894736842105
22,轮,0,48,0,48,0,0.0,0.0,0.0
24,历,115,189,109,80,6,0.5767195767195767,0.9478260869565217,0.7171052631578949
25,长锁,8,5,5,0,3,1.0,0.625,0.7692307692307693
27,背锁,1,1,0,1,1,0.0,0.0,0.0
28,撮,6,9,4,5,2,0.4444444444444444,0.6666666666666666,0.5333333333333333
30,搯,1,4,1,3,0,0.25,1.0,0.4
31,拨刺,0,8,0,8,0,0.0,0.0,0.0
32,打圆,4,8,4,4,0,0.5,1.0,0.6666666666666666
33,双弹,0,1,0,1,0,0.0,0.0,0.0
34,如一,9,17,8,9,1,0.47058823529411764,0.8888888888888888,0.6153846153846153
35,罨,11,16,9,7,2,0.5625,0.8181818181818182,0.6666666666666666
36,搯起,6,22,3,19,3,0.13636363636363635,0.5,0.21428571428571427
37,爪起,0,20,0,20,0,0.0,0.0,0.0
38,带起,14,21,11,10,3,0.5238095238095238,0.7857142857142857,0.6285714285714286
39,推出,1,0,0,0,1,0.0,0.0,0.0
40,绰,14,50,2,48,12,0.04,0.14285714285714285,0.0625
41,注,73,24,18,6,55,0.75,0.2465753424657534,0.37113402061855666
43,退复,0,5,0,5,0,0.0,0.0,0.0
44,撞,17,97,16,81,1,0.16494845360824742,0.9411764705882353,0.2807017543859649
46,逗,0,2,0,2,0,0.0,0.0,0.0
47,唤,3,29,3,26,0,0.10344827586206896,1.0,0.1875
48,吟,16,122,14,108,2,0.11475409836065574,0.875,0.20289855072463767
53,游吟,0,1,0,1,0,0.0,0.0,0.0
54,猱,35,72,30,42,5,0.4166666666666667,0.8571428571428571,0.5607476635514019
55,长猱,0,1,0,1,0,0.0,0.0,0.0
58,大指,418,434,360,74,58,0.8294930875576036,0.861244019138756,0.8450704225352113
59,食指,69,72,57,15,12,0.7916666666666666,0.8260869565217391,0.8085106382978724
60,中指,63,67,47,20,16,0.7014925373134329,0.746031746031746,0.7230769230769232
61,名指,323,380,263,117,60,0.6921052631578948,0.8142414860681114,0.748221906116643
62,跪,5,12,2,10,3,0.16666666666666666,0.4,0.23529411764705882
63,散,312,310,269,41,43,0.867741935483871,0.8621794871794872,0.8649517684887461
64,泛起,18,63,16,47,2,0.25396825396825395,0.8888888888888888,0.3950617283950617
65,泛止,25,76,24,52,1,0.3157894736842105,0.96,0.47524752475247517
